"projectNr" "projectRegion" "sponsor" "Approved" "Signed" "enterpriseBase" "totalProjectCost" "riskManagement" "guarantee" "loan" "equity" "URL"
"10066" NA NA "2000-10-26" "2001-02-05" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/44221f3f86349b36852576ba000e2fad?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/ee3b59aae3a02a68852576ba000e22d3?OpenDocument"
"10067" NA NA "2001-01-10" "2001-04-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9481eceefe529f47852576c10080cf7c?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/966984cd9866b1d8852576c10080cf6a?OpenDocument"
"10069" NA NA "2000-04-05" "2000-10-04" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/6fbea6b793d1cc5d852576c10080d0b8?OpenDocument"
"10070" NA NA "2000-06-07" "2000-10-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/62078bd84acf292d852576c10080cf3e?OpenDocument"
"10071" NA NA "2000-05-29" "2001-04-05" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/f20b22d7c927b7fa852576c10080cdc6?OpenDocument"
"10074" NA NA "2000-03-30" "2000-04-26" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e1cace4c15e8e14b852576c10080d1f6?OpenDocument"
"10081" NA NA "2000-05-12" "2000-11-15" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d04224cd6076699c852576c10080ce68?OpenDocument"
"10083" NA NA "2000-12-01" "2002-07-01" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/de5bdd007492996d852576ba000e2ed5?OpenDocument"
"10087" NA NA "2000-06-30" "2001-01-19" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/66e9734c25be976c852576c10080cf3d?OpenDocument"
"10090" NA NA "2000-06-05" "2000-11-17" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/0190b716da852875852576c10080d0e1?OpenDocument"
"10099" NA NA "2000-05-23" "2001-07-18" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9e3508737234b23a852576c10080cfed?OpenDocument"
"10105" NA NA "2000-06-07" "2001-02-22" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/0d0fa3c9fa017952852576ba000e30bf?OpenDocument"
"10112" NA NA "2001-02-08" "2001-06-18" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/67deed1b6a52250c852576c10080cfb0?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/8c1f75b06975efc3852576c10080cfb8?OpenDocument"
"10113" NA NA "2000-12-20" "2001-11-19" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7cb0a14eaf4f5394852576ba000e23be?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/f608d488db05563c852576ba000e23a1?OpenDocument"
"10117" NA NA "2000-02-03" "2000-07-25" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3e73a868ca9090cb852576c10080d2a4?OpenDocument"
"10123" NA NA "2000-12-20" "2001-06-22" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/f0b943b73abab87c852576c10080d044?OpenDocument"
"10130" NA NA "2000-06-28" "2003-06-20" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/80e6df0dc0a96076852576c10080cef9?OpenDocument"
"10132" NA NA "2000-06-08" "2001-04-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/41729863971748a1852576c10080d0e3?OpenDocument"
"10134" NA NA "2000-10-24" "2001-01-24" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/23165e7cce8ce185852576c10080d0cb?OpenDocument"
"10135" NA NA "2000-06-15" "2000-06-20" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/bf2de2a6539152ae852576c10080d073?OpenDocument"
"10137" NA NA "2000-06-26" "2001-05-18" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/eb912c4847eac0bd852576c10080cf79?OpenDocument"
"10138" NA NA "2000-06-05" "2000-08-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/825c6fca6d039682852576c10080ce48?OpenDocument"
"10141" NA NA "2000-10-19" "2001-03-06" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/907a286d5473bd62852576c10080d1a9?OpenDocument"
"10142" NA NA "2001-02-08" "2001-08-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/2eef53bc1e484041852576c10080cd5b?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/b70ee26677225c0c852576c10080cd5d?OpenDocument"
"10145" NA NA "2000-06-15" "2001-04-27" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/f4ac226d2c9e0073852576c10080cd5e?OpenDocument"
"10148" NA NA "2000-11-08" "2002-12-13" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d04d5e61eb190d08852576c10080cee2?OpenDocument"
"10149" NA NA "2000-03-30" "2000-06-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9a26bc3e5c8db8c3852576c10080cfee?OpenDocument"
"10150" NA NA "2000-07-25" "2000-12-11" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/1a1522003d20b0d9852576c10080ce39?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/3b8ceed7529c77e5852576c10080ce33?OpenDocument"
"10154" NA NA "2000-05-11" "2000-07-05" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9800370a6124f913852576c10080d1d5?OpenDocument"
"10156" NA NA "2000-05-31" "2001-04-18" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/20d2e92ba1dd3248852576c10080d0e2?OpenDocument"
"10162" NA NA "2000-05-16" "2000-05-17" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7c6c6af5834c326e852576ba000e2fb0?OpenDocument"
"10165" NA NA "2000-11-20" "2000-12-06" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d400cbd44aef46d4852576c10080d150?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e8757f3b740af830852576c10080d160?OpenDocument"
"10167" NA NA "2001-05-31" "2003-10-29" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/54fc501d26679649852576ba000e2423?OpenDocument"
"10168" NA NA "2000-12-22" "2001-10-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/270f8214b1ca1aaa852576ba000e31af?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/cee91de484615ce0852576ba000e31b1?OpenDocument"
"10171" NA NA "2000-06-30" "2000-07-13" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/eb4b4969d0609c0d852576c10080cded?OpenDocument"
"10172" NA NA "2000-05-12" "2000-08-24" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/2b6ba5d1abb26c8e852576c10080d273?OpenDocument"
"10175" NA NA "2001-08-02" "2001-12-14" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/4e5aae14029daff0852576c10080cb43?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/81a22928aadbcc89852576c10080cabb?OpenDocument"
"10179" NA NA "2000-06-06" "2000-11-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/f6512bdd8230696b852576c10080d024?OpenDocument"
"10185" NA NA "2000-06-09" "2000-11-15" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9d2a411a98f9aca9852576c10080d0b7?OpenDocument"
"10189" NA NA "2002-03-06" "2002-05-09" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/428c3e759f555e51852576c10080ca58?OpenDocument"
"10191" NA NA "2000-12-18" "2001-04-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/c2248f6553cc34c0852576c10080cf76?OpenDocument"
"10196" NA NA "2002-05-09" "2002-06-06" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/31c026d4c0fe661b852576c10080ca50?OpenDocument"
"10197" NA NA "2000-06-27" "2002-03-08" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/57944fbf983a9b0c852576c10080d1aa?OpenDocument"
"10199" NA NA "2000-06-16" "2001-01-18" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7ba55e87740eada5852576ba000e3154?OpenDocument"
"10200" NA NA "2000-07-27" "2000-10-12" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/31ff8195044f35b3852576c10080d0a8?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9ae9ae2d11af5a7f852576c10080d0aa?OpenDocument"
"10201" NA NA "2000-12-01" "2001-01-19" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/124d3c58d7461cca852576ba000e2e82?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/936308b7d50dabba852576ba000e2e81?OpenDocument"
"10213" NA NA "2000-11-09" "2000-11-17" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7c4c495fa1639178852576c10080cec4?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/c9e24c1d59dfe99e852576c10080cec8?OpenDocument"
"10215" NA NA "2000-08-21" "2000-10-18" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/775a7570d49a8833852576c10080cde0?OpenDocument"
"10221" NA NA "2000-09-26" "2001-07-01" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/14ee579ec9e444f6852576c10080cef8?OpenDocument"
"10223" NA NA "2001-02-08" "2001-06-25" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e4267d4c5fec84b2852576c10080cf68?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/ef7a80b1121066d3852576c10080cf74?OpenDocument"
"10233" NA NA "2002-04-30" "2002-10-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/6c06f6a863eb612e852576c10080cb33?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/da534868117d281d852576c10080cb13?OpenDocument"
"10241" NA NA "2001-04-19" "2002-05-06" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a13e2cb1f8d87c9e852576ba000e3061?OpenDocument"
"10244" NA NA "2000-02-11" "2000-10-19" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d4581831c4ed1694852576c10080d1bd?OpenDocument"
"10245" NA NA "2000-06-06" "2000-08-14" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/b4b5f3fa4085daf8852576c10080d1a7?OpenDocument"
"10252" NA NA "2000-09-22" "2001-04-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/550b5f96c82dfa4a852576c10080d293?OpenDocument"
"10253" NA NA "2000-09-28" "2001-03-30" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/983610a4cbd57800852576ba000e31ff?OpenDocument"
"10255" NA NA "2002-06-27" "2002-09-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/01ad54eb96d39ead852576ba000e2385?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/8cb9f8968e499557852576ba000e22c3?OpenDocument"
"10262" NA NA "2000-06-30" "2001-03-02" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a93cbdb8c5c76bce852576c10080ce54?OpenDocument"
"10283" NA NA "2000-07-26" "2000-07-13" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/8712fbaa9d2ef69c852576ba000e317a?OpenDocument"
"10286" NA NA "2001-06-07" "2002-05-03" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7e490854ad245f7e852576c10080cac2?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9716940a9f7f104a852576c10080cc88?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d42982faf1d06285852576c10080cbfb?OpenDocument"
"10291" NA NA "2000-06-30" "2000-11-10" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/920207dbcec440f7852576c10080cfec?OpenDocument"
"10292" NA NA "2000-10-03" "2001-04-02" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/2a1a9da04f81214d852576ba000e2f4c?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/b9316bbf8a2ba775852576ba000e2f46?OpenDocument"
"10295" NA NA "2001-06-12" "2001-08-03" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/5b82651a84e1c19d852576c10080d2e5?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/7356025230b0d29e852576c10080d2d8?OpenDocument"
"10296" NA NA "2000-11-28" "2001-01-26" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/5b5079a48dccbbc9852576ba000e3032?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/685d801379d2f13a852576ba000e3035?OpenDocument"
"10302" NA NA "2000-06-19" "2001-02-14" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/b1858697ff48b89b852576c10080d1a8?OpenDocument"
"10304" NA NA "2001-06-21" "2002-02-25" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/5e0ffb439dfa6603852576ba000e23b4?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/ed1edf5b01979651852576ba000e244e?OpenDocument"
"10305" NA NA "2002-07-26" "2002-11-12" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/a5fc2a56f5c6aedf852576c10080cacc?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e9f288cf502f8000852576c10080caa3?OpenDocument"
"10307" NA NA "2000-10-17" "2000-12-14" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/277cccf2b78c7d50852576c10080cf77?OpenDocument"
"10308" NA NA "2000-06-28" "2000-07-17" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9e8dd692b7809a69852576c10080cfa0?OpenDocument"
"10310" NA NA "2001-04-05" "2001-09-04" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/76242ded200cac4f852576c10080cf9f?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/c70fa2c5b2bc84e4852576c10080cf8f?OpenDocument"
"10311" NA NA "2000-12-05" "2001-04-15" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/26650c5e3c6733ac852576c10080d234?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/bbc2a8cdd71d9b14852576c10080d21d?OpenDocument"
"10312" NA NA "2000-11-17" "2000-11-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/201d0270e864937e852576ba000e2fa7?OpenDocument"
"10314" NA NA "2001-07-30" "2001-10-16" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/d5a78b64ed8c907e852576c10080ca92?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/e84467f9340be1da852576c10080ca48?OpenDocument"
"10323" NA NA "2001-04-12" "2001-06-29" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/0237438a49c38771852576ba000e22b6?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/2e623b9c3f7533a6852576ba000e2483?OpenDocument"
"10326" NA NA "2001-02-13" "2002-06-14" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/6fd7d537bbc5e335852576c10080d088?OpenDocument http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/9965bfa4d085b8ca852576c10080cb62?OpenDocument"
"10327" NA NA "2000-06-23" NA NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/b36a911eb5733364852576c10080cc2e?OpenDocument"
"10331" NA NA "2000-12-12" "2001-11-07" NA NA NA NA NA NA "http://ifcextapps.ifc.org/ifcext/spiwebsite1.nsf/651aeb16abd09c1f8525797d006976ba/21b33582cddc7631852576ba000e2e18?OpenDocument"
